22879,0.4,7.8,7.1,0.6,2.1,0.6,3.4,0.9,1.1,0.1,0.7,4.5,0.6,0.6,0.7,1.7,1.4,0.9,0.3,39,0.54,4.76,-0.84,2
23249,-8.2,9.3,9,1.7,1,1.6,6.5,2.2,-1.4,1.6,1.6,6.8,2.1,2.1,2.1,3.9,4.1,3.1,1.3,50,0.92,3.73,-0.08,3
23754,4.6,7.3,7.5,0.5,3.8,0.3,1.7,0.4,3.6,0.6,0.8,8.2,0.8,0.9,1.1,0.6,2,1.3,0.5,33,0.45,2.93,0.09,2
25329,-7.2,9.9,8.8,1.4,1.4,2.2,5.6,1.7,-1.7,1.2,0.7,2.6,0.8,0.7,1.1,4.2,2.1,1.5,0.3,51,0.86,7.18,-1.73,4
25604,-10.9,10.4,9.9,1.6,0.1,1.6,6.3,2,-1.2,1.6,1.9,7.1,2,2.5,2.1,2.2,3.9,3.3,1.6,50,1.07,0.64,-0.05,4
25621,2.8,8,7.7,0.6,2.9,0.4,2.8,0.7,2.7,0.7,1,7.5,1,1.1,1.2,0.8,2.2,1.5,0.6,36,0.5,2.66,0.04,2
25975,-8.2,9.6,9.2,1.7,0.8,1.5,6.3,2.1,-1.3,1.5,1.6,6.9,2,2.2,2,3.1,3.9,3.1,1.4,51,0.95,2.87,-0.09,3
27022,-5.7,9.3,8.5,1,0.5,0.7,5,1.4,0.1,1.1,1.6,6.1,1.6,1.8,1.6,1.2,3,2.2,1.1,45,0.81,0.23,-0.09,3
27295,10.4,-0.2,8.3,0,8.5,-0.1,-0.4,-0.3,7.5,0,0,11.2,0,0.2,0.1,0.2,-0.2,0.1,0.1,19,-0.1,0.8,-0.57,1
27348,-8.5,9.6,9.1,1.4,0.2,1.1,5.8,1.8,-0.7,1.4,1.6,6.9,1.9,2.2,1.9,1.9,3.6,2.9,1.3,48,0.94,0.72,-0.11,3
27371,-9,9.6,9.2,1.4,0.2,1.1,5.9,1.9,-0.9,1.4,1.7,7.2,2,2.3,1.9,1.9,3.7,3.1,1.5,48,0.99,0.28,-0.05,3
27697,-9.8,10.1,9.6,1.4,0.2,1.1,6.1,1.9,-0.9,1.5,1.8,7,2,2.4,1.9,1.9,3.7,3.1,1.5,48,0.98,0.4,-0.04,3
27971,-9.5,10,9.6,1.5,0.3,1.3,6.1,1.9,-1,1.5,1.7,7,2,2.4,1.9,2.1,3.8,3.1,1.5,51,0.97,0.92,-0.06,3
28292,-10.8,10.4,10,1.8,0.6,2.1,6.4,2.1,-1.6,1.7,1.9,6.7,2,2.3,2.3,3,3.9,3.5,1.6,52,1.13,1.09,-0.08,4
28305,-10.9,10.2,9.7,1.5,0,1.3,6.1,1.9,-1,1.5,1.9,7.3,2.1,2.6,2,1.9,3.9,3.2,1.6,50,1.04,0.12,0.02,4
28307,-7.5,9.3,8.9,1.4,0.5,1.1,5.5,1.8,-0.6,1.4,1.7,7,1.9,2.4,1.9,2,3.8,3.1,1.4,47,0.99,0.38,-0.04,3
29139,-11,9.9,9.9,2.1,1.7,5.2,4.1,2,-1.3,2,2.9,6.4,1.4,3.1,3.2,3.6,3.8,4.9,2,55,1.54,-0.65,-0.1,6
29613,-9.6,10.3,9.7,1.6,0.5,1.7,6.4,2,-1.4,1.5,1.7,6.3,1.9,1.9,2,2.8,3.6,3,1.3,50,1.05,1.54,-0.28,3
29645,1,8.7,8.2,0.8,2.5,0.6,4.3,1.2,1.6,0.9,1.1,7.3,1.3,1.4,1.4,1.6,2.4,1.8,0.8,40,0.57,3.52,0.06,2
30562,-0.8,9,8.4,1,2.2,0.8,4.5,1.3,1.2,1,1.2,7.5,1.5,1.8,1.4,1.9,2.9,2,1,38,0.63,3.65,0.14,4
30649,1.1,8.5,7.8,0.8,2,0.7,4.4,1.1,0.9,0.8,0.9,5.5,1.1,1,1,2.1,1.9,1.4,0.4,41,0.58,4.59,-0.51,2
30652,3.6,7.5,7.4,0.6,3.5,0.4,2.2,0.5,3.2,0.6,0.9,7.8,0.8,0.9,1,0.9,2,1.4,0.7,36,0.45,3.67,0.14,2
30743,4.3,6.8,6.9,0.5,3.3,0.3,1.9,0.4,3,0.5,0.5,6.5,0.6,0.6,0.7,0.6,1.5,1,0.4,33,0.44,3.52,-0.33,2
30814,-10.2,10.2,9.7,1.5,0.2,1.3,6.2,1.9,-1,1.5,1.7,6.8,2,2.4,2,1.9,3.8,3.1,1.4,50,0.98,0.67,-0.21,4
31295,13.3,-0.7,9.3,0.1,9.6,0,-0.7,-0.1,8.1,0.1,-0.1,15,-0.3,0.2,0,0.4,0.2,0.2,0,20,0.09,1.81,-0.5,1
31421,-11,10.6,10.1,1.7,0.5,2.1,6.3,2.1,-1.4,1.6,2,6.4,1.9,2.1,2.2,2.5,3.7,3.2,1.5,52,1.15,0.49,-0.23,4
32147,-11.3,8.6,8.6,2.3,1.8,4.3,5.3,2.4,-2.1,2,2.1,7.9,2.7,2.6,3.5,6.2,5.7,4.8,1.9,53,1.06,6.49,0.02,4
33256,4.4,7,7.1,0.5,3.3,0.3,1.9,0.4,3.1,0.5,0.7,6.8,0.6,0.6,0.9,0.7,1.6,1.1,0.4,32,0.46,3.11,-0.3,2
33608,3.6,7.6,7.6,0.6,3.6,0.4,2.2,0.6,3.3,0.7,0.9,8.7,1.1,1.2,1.2,0.9,2.3,1.6,0.7,35,0.46,2.98,0.26,2
34411,-0.1,8.8,8.2,1,2.1,0.8,4.6,1.3,1.1,1,1.2,7.2,1.6,1.5,1.4,2,2.8,1.9,0.8,40,0.64,4.19,-0.03,2
35296,1.6,7.8,7.3,0.7,2.7,0.6,3,0.8,2.2,0.8,1,7.3,1.2,1.1,1.3,1.4,2.4,1.6,0.7,38,0.52,4.17,0,2
35369,-7.4,10.1,9.4,1.3,0.1,1.1,6.1,1.8,-0.9,1.3,1.7,6,1.7,1.8,1.7,1.6,3.1,2.5,1.2,48,0.96,0.5,-0.54,3
35410,-7.2,10,9.3,1.4,0.4,1.2,6.2,1.9,-1,1.4,1.6,5.7,1.7,1.8,1.7,2.1,3.2,2.5,1.1,50,0.96,1.47,-0.3,3
36079,-5.3,10,9,0.9,0.1,0.6,4.8,1.2,0.3,1,1.6,5.8,1.4,1.4,1.6,0.7,2.7,2,1,45,0.82,-0.6,-0.45,3
37160,-5.9,10.1,9.4,1.2,0.6,1.2,6.3,1.8,-1.2,1.2,1.5,5.2,1.5,1.5,1.7,2.5,2.8,2.2,1,48,0.95,1.33,-0.56,3
37394,-7.5,8.3,8.2,1.9,1.2,2,5.8,2.1,-1.1,1.6,1.7,7.5,2.5,2.3,2.1,4.1,4.4,3.2,1.4,51,0.84,5.79,-0.2,4
37984,-8.8,10.4,9.8,1.5,0.6,1.8,6.3,2,-1.3,1.5,1.9,6.2,1.9,1.9,2.2,2.2,3.3,2.8,1.2,51,1.17,0.08,-0.33,4
38656,-8,10.2,9.4,1.3,0.1,1.1,6,1.8,-0.8,1.3,1.7,6.2,1.8,1.9,1.6,1.6,3.3,2.5,1.3,48,0.94,0.45,-0.32,3
